country,state,county,series_Desc,series_id,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,filename
United States,TX,Ellis County,House Price Index,ATNHPIUS48139A,,,,,,,,,,United_States_TX_Ellis_County_House_Price_Index
United States,TX,El Paso County,House Price Index,ATNHPIUS48141A,,,,,,,,,,United_States_TX_El_Paso_County_House_Price_Index
United States,TX,Erath County,House Price Index,ATNHPIUS48143A,,,,,,,,,,United_States_TX_Erath_County_House_Price_Index
United States,TX,Falls County,House Price Index,ATNHPIUS48145A,,,,,,,,,,United_States_TX_Falls_County_House_Price_Index
United States,TX,Fannin County,House Price Index,ATNHPIUS48147A,,,,,,,,,,United_States_TX_Fannin_County_House_Price_Index
United States,TX,Fayette County,House Price Index,ATNHPIUS48149A,,,,,,,,,,United_States_TX_Fayette_County_House_Price_Index
United States,TX,Fisher County,House Price Index,ATNHPIUS48151A,,,,,,,,,,United_States_TX_Fisher_County_House_Price_Index
United States,TX,Floyd County,House Price Index,ATNHPIUS48153A,,,,,,,,,,United_States_TX_Floyd_County_House_Price_Index
United States,TX,Foard County,House Price Index,ATNHPIUS48155A,,,,,,,,,,United_States_TX_Foard_County_House_Price_Index
United States,TX,Fort Bend County,House Price Index,ATNHPIUS48157A,,,,,,,,,,United_States_TX_Fort_Bend_County_House_Price_Index
United States,TX,Franklin County,House Price Index,ATNHPIUS48159A,,,,,,,,,,United_States_TX_Franklin_County_House_Price_Index
United States,TX,Freestone County,House Price Index,ATNHPIUS48161A,,,,,,,,,,United_States_TX_Freestone_County_House_Price_Index
United States,TX,Frio County,House Price Index,ATNHPIUS48163A,,,,,,,,,,United_States_TX_Frio_County_House_Price_Index
United States,TX,Gaines County,House Price Index,ATNHPIUS48165A,,,,,,,,,,United_States_TX_Gaines_County_House_Price_Index
United States,TX,Galveston County,House Price Index,ATNHPIUS48167A,,,,,,,,,,United_States_TX_Galveston_County_House_Price_Index
United States,TX,Garza County,House Price Index,ATNHPIUS48169A,,,,,,,,,,United_States_TX_Garza_County_House_Price_Index
United States,TX,Gillespie County,House Price Index,ATNHPIUS48171A,,,,,,,,,,United_States_TX_Gillespie_County_House_Price_Index
United States,TX,Glasscock County,House Price Index,ATNHPIUS48173A,,,,,,,,,,United_States_TX_Glasscock_County_House_Price_Index
United States,TX,Goliad County,House Price Index,ATNHPIUS48175A,,,,,,,,,,United_States_TX_Goliad_County_House_Price_Index
United States,TX,Gonzales County,House Price Index,ATNHPIUS48177A,,,,,,,,,,United_States_TX_Gonzales_County_House_Price_Index
United States,TX,Gray County,House Price Index,ATNHPIUS48179A,,,,,,,,,,United_States_TX_Gray_County_House_Price_Index
United States,TX,Grayson County,House Price Index,ATNHPIUS48181A,,,,,,,,,,United_States_TX_Grayson_County_House_Price_Index
United States,TX,Gregg County,House Price Index,ATNHPIUS48183A,,,,,,,,,,United_States_TX_Gregg_County_House_Price_Index
United States,TX,Grimes County,House Price Index,ATNHPIUS48185A,,,,,,,,,,United_States_TX_Grimes_County_House_Price_Index
United States,TX,Guadalupe County,House Price Index,ATNHPIUS48187A,,,,,,,,,,United_States_TX_Guadalupe_County_House_Price_Index
United States,TX,Hale County,House Price Index,ATNHPIUS48189A,,,,,,,,,,United_States_TX_Hale_County_House_Price_Index
United States,TX,Hall County,House Price Index,ATNHPIUS48191A,,,,,,,,,,United_States_TX_Hall_County_House_Price_Index
United States,TX,Hamilton County,House Price Index,ATNHPIUS48193A,,,,,,,,,,United_States_TX_Hamilton_County_House_Price_Index
United States,TX,Hansford County,House Price Index,ATNHPIUS48195A,,,,,,,,,,United_States_TX_Hansford_County_House_Price_Index
United States,TX,Hardeman County,House Price Index,ATNHPIUS48197A,,,,,,,,,,United_States_TX_Hardeman_County_House_Price_Index
United States,TX,Hardin County,House Price Index,ATNHPIUS48199A,,,,,,,,,,United_States_TX_Hardin_County_House_Price_Index
United States,TX,Harris County,House Price Index,ATNHPIUS48201A,,,,,,,,,,United_States_TX_Harris_County_House_Price_Index
United States,TX,Harrison County,House Price Index,ATNHPIUS48203A,,,,,,,,,,United_States_TX_Harrison_County_House_Price_Index
United States,TX,Hartley County,House Price Index,ATNHPIUS48205A,,,,,,,,,,United_States_TX_Hartley_County_House_Price_Index
United States,TX,Haskell County,House Price Index,ATNHPIUS48207A,,,,,,,,,,United_States_TX_Haskell_County_House_Price_Index
United States,TX,Hays County,House Price Index,ATNHPIUS48209A,,,,,,,,,,United_States_TX_Hays_County_House_Price_Index
United States,TX,Hemphill County,House Price Index,ATNHPIUS48211A,,,,,,,,,,United_States_TX_Hemphill_County_House_Price_Index
United States,TX,Henderson County,House Price Index,ATNHPIUS48213A,,,,,,,,,,United_States_TX_Henderson_County_House_Price_Index
United States,TX,Hidalgo County,House Price Index,ATNHPIUS48215A,,,,,,,,,,United_States_TX_Hidalgo_County_House_Price_Index
United States,TX,Hill County,House Price Index,ATNHPIUS48217A,,,,,,,,,,United_States_TX_Hill_County_House_Price_Index
United States,TX,Hockley County,House Price Index,ATNHPIUS48219A,,,,,,,,,,United_States_TX_Hockley_County_House_Price_Index
United States,TX,Hood County,House Price Index,ATNHPIUS48221A,,,,,,,,,,United_States_TX_Hood_County_House_Price_Index
United States,TX,Hopkins County,House Price Index,ATNHPIUS48223A,,,,,,,,,,United_States_TX_Hopkins_County_House_Price_Index
United States,TX,Houston County,House Price Index,ATNHPIUS48225A,,,,,,,,,,United_States_TX_Houston_County_House_Price_Index
United States,TX,Howard County,House Price Index,ATNHPIUS48227A,,,,,,,,,,United_States_TX_Howard_County_House_Price_Index
United States,TX,Hudspeth County,House Price Index,ATNHPIUS48229A,,,,,,,,,,United_States_TX_Hudspeth_County_House_Price_Index
United States,TX,Hunt County,House Price Index,ATNHPIUS48231A,,,,,,,,,,United_States_TX_Hunt_County_House_Price_Index
United States,TX,Hutchinson County,House Price Index,ATNHPIUS48233A,,,,,,,,,,United_States_TX_Hutchinson_County_House_Price_Index
United States,TX,Irion County,House Price Index,ATNHPIUS48235A,,,,,,,,,,United_States_TX_Irion_County_House_Price_Index
United States,TX,Jack County,House Price Index,ATNHPIUS48237A,,,,,,,,,,United_States_TX_Jack_County_House_Price_Index
United States,TX,Jackson County,House Price Index,ATNHPIUS48239A,,,,,,,,,,United_States_TX_Jackson_County_House_Price_Index
United States,TX,Jasper County,House Price Index,ATNHPIUS48241A,,,,,,,,,,United_States_TX_Jasper_County_House_Price_Index
United States,TX,Jeff Davis County,House Price Index,ATNHPIUS48243A,,,,,,,,,,United_States_TX_Jeff_Davis_County_House_Price_Index
United States,TX,Jefferson County,House Price Index,ATNHPIUS48245A,,,,,,,,,,United_States_TX_Jefferson_County_House_Price_Index
United States,TX,Jim Hogg County,House Price Index,ATNHPIUS48247A,,,,,,,,,,United_States_TX_Jim_Hogg_County_House_Price_Index
United States,TX,Jim Wells County,House Price Index,ATNHPIUS48249A,,,,,,,,,,United_States_TX_Jim_Wells_County_House_Price_Index
United States,TX,Johnson County,House Price Index,ATNHPIUS48251A,,,,,,,,,,United_States_TX_Johnson_County_House_Price_Index
United States,TX,Jones County,House Price Index,ATNHPIUS48253A,,,,,,,,,,United_States_TX_Jones_County_House_Price_Index
United States,TX,Karnes County,House Price Index,ATNHPIUS48255A,,,,,,,,,,United_States_TX_Karnes_County_House_Price_Index
United States,TX,Kaufman County,House Price Index,ATNHPIUS48257A,,,,,,,,,,United_States_TX_Kaufman_County_House_Price_Index
United States,TX,Kendall County,House Price Index,ATNHPIUS48259A,,,,,,,,,,United_States_TX_Kendall_County_House_Price_Index
United States,TX,Kenedy County,House Price Index,ATNHPIUS48261A,,,,,,,,,,United_States_TX_Kenedy_County_House_Price_Index
United States,TX,Kent County,House Price Index,ATNHPIUS48263A,,,,,,,,,,United_States_TX_Kent_County_House_Price_Index
United States,TX,Kerr County,House Price Index,ATNHPIUS48265A,,,,,,,,,,United_States_TX_Kerr_County_House_Price_Index
United States,TX,Kimble County,House Price Index,ATNHPIUS48267A,,,,,,,,,,United_States_TX_Kimble_County_House_Price_Index
United States,TX,King County,House Price Index,ATNHPIUS48269A,,,,,,,,,,United_States_TX_King_County_House_Price_Index
United States,TX,Kinney County,House Price Index,ATNHPIUS48271A,,,,,,,,,,United_States_TX_Kinney_County_House_Price_Index
United States,TX,Kleberg County,House Price Index,ATNHPIUS48273A,,,,,,,,,,United_States_TX_Kleberg_County_House_Price_Index
United States,TX,Knox County,House Price Index,ATNHPIUS48275A,,,,,,,,,,United_States_TX_Knox_County_House_Price_Index
United States,TX,Lamar County,House Price Index,ATNHPIUS48277A,,,,,,,,,,United_States_TX_Lamar_County_House_Price_Index
United States,TX,Lamb County,House Price Index,ATNHPIUS48279A,,,,,,,,,,United_States_TX_Lamb_County_House_Price_Index
United States,TX,Lampasas County,House Price Index,ATNHPIUS48281A,,,,,,,,,,United_States_TX_Lampasas_County_House_Price_Index
United States,TX,La Salle County,House Price Index,ATNHPIUS48283A,,,,,,,,,,United_States_TX_La_Salle_County_House_Price_Index
United States,TX,Lavaca County,House Price Index,ATNHPIUS48285A,,,,,,,,,,United_States_TX_Lavaca_County_House_Price_Index
United States,TX,Lee County,House Price Index,ATNHPIUS48287A,,,,,,,,,,United_States_TX_Lee_County_House_Price_Index
United States,TX,Leon County,House Price Index,ATNHPIUS48289A,,,,,,,,,,United_States_TX_Leon_County_House_Price_Index
United States,TX,Liberty County,House Price Index,ATNHPIUS48291A,,,,,,,,,,United_States_TX_Liberty_County_House_Price_Index
United States,TX,Limestone County,House Price Index,ATNHPIUS48293A,,,,,,,,,,United_States_TX_Limestone_County_House_Price_Index
United States,TX,Lipscomb County,House Price Index,ATNHPIUS48295A,,,,,,,,,,United_States_TX_Lipscomb_County_House_Price_Index
United States,TX,Live Oak County,House Price Index,ATNHPIUS48297A,,,,,,,,,,United_States_TX_Live_Oak_County_House_Price_Index
United States,TX,Llano County,House Price Index,ATNHPIUS48299A,,,,,,,,,,United_States_TX_Llano_County_House_Price_Index
United States,TX,Loving County,House Price Index,ATNHPIUS48301A,,,,,,,,,,United_States_TX_Loving_County_House_Price_Index
United States,TX,Lubbock County,House Price Index,ATNHPIUS48303A,,,,,,,,,,United_States_TX_Lubbock_County_House_Price_Index
