country,state,county,series_Desc,series_id,,,,,,,,,
United States,TX,La Salle County,House Price Index,ATNHPIUS48283A,,,,,,,,,
United States,TX,Lavaca County,House Price Index,ATNHPIUS48285A,,,,,,,,,
United States,TX,Lee County,House Price Index,ATNHPIUS48287A,,,,,,,,,
United States,TX,Leon County,House Price Index,ATNHPIUS48289A,,,,,,,,,
United States,TX,Liberty County,House Price Index,ATNHPIUS48291A,,,,,,,,,
United States,TX,Limestone County,House Price Index,ATNHPIUS48293A,,,,,,,,,
United States,TX,Lipscomb County,House Price Index,ATNHPIUS48295A,,,,,,,,,
United States,TX,Live Oak County,House Price Index,ATNHPIUS48297A,,,,,,,,,
United States,TX,Llano County,House Price Index,ATNHPIUS48299A,,,,,,,,,
United States,TX,Loving County,House Price Index,ATNHPIUS48301A,,,,,,,,,
United States,TX,Lubbock County,House Price Index,ATNHPIUS48303A,,,,,,,,,
United States,TX,Lynn County,House Price Index,ATNHPIUS48305A,,,,,,,,,
United States,TX,Madison County,House Price Index,ATNHPIUS48307A,,,,,,,,,
United States,TX,Marion County,House Price Index,ATNHPIUS48309A,,,,,,,,,
United States,TX,Martin County,House Price Index,ATNHPIUS48311A,,,,,,,,,
United States,TX,Mason County,House Price Index,ATNHPIUS48313A,,,,,,,,,
United States,TX,Matagorda County,House Price Index,ATNHPIUS48315A,,,,,,,,,
United States,TX,Maverick County,House Price Index,ATNHPIUS48317A,,,,,,,,,
United States,TX,McCulloch County,House Price Index,ATNHPIUS48319A,,,,,,,,,
United States,TX,McLennan County,House Price Index,ATNHPIUS48321A,,,,,,,,,
United States,TX,McMullen County,House Price Index,ATNHPIUS48323A,,,,,,,,,
United States,TX,Medina County,House Price Index,ATNHPIUS48325A,,,,,,,,,
United States,TX,Menard County,House Price Index,ATNHPIUS48327A,,,,,,,,,
United States,TX,Midland County,House Price Index,ATNHPIUS48329A,,,,,,,,,
United States,TX,Milam County,House Price Index,ATNHPIUS48331A,,,,,,,,,
United States,TX,Mills County,House Price Index,ATNHPIUS48333A,,,,,,,,,
United States,TX,Mitchell County,House Price Index,ATNHPIUS48335A,,,,,,,,,
United States,TX,Montague County,House Price Index,ATNHPIUS48337A,,,,,,,,,
United States,TX,Montgomery County,House Price Index,ATNHPIUS48339A,,,,,,,,,
United States,TX,Moore County,House Price Index,ATNHPIUS48341A,,,,,,,,,
United States,TX,Morris County,House Price Index,ATNHPIUS48343A,,,,,,,,,
United States,TX,Motley County,House Price Index,ATNHPIUS48345A,,,,,,,,,
United States,TX,Nacogdoches County,House Price Index,ATNHPIUS48347A,,,,,,,,,
